iter	Passed	Remaining
164	25462	128858
165	25594	128588
166	25761	128497
167	25923	128384
168	26092	128299
169	26243	128130
170	26361	127801
171	26486	127503
172	26599	127155
173	26728	126883
174	26855	126602
175	26989	126361
176	27140	126197
177	27285	126002
178	27428	125802
179	27551	125510
180	27691	125300
181	27806	124978
182	27966	124857
183	28104	124638
184	28253	124469
185	28398	124281
186	28509	123949
187	28651	123751
188	28792	123546
189	28910	123249
190	29053	123057
191	29180	122802
192	29328	122633
193	29480	122480
194	29599	122194
195	29741	121999
196	29869	121753
197	30016	121580
198	30147	121347
199	30282	121128
200	30412	120893
201	30539	120647
202	30716	120597
203	30870	120456
204	31006	120243
205	31135	120006
206	31317	119975
207	31459	119789
208	31618	119666
209	31767	119504
210	31920	119359
211	32084	119259
212	32218	119041
213	32398	118997
214	32553	118859
215	32691	118657
216	32872	118614
217	33025	118467
218	33150	118223
219	33318	118129
220	33479	118011
221	33650	117927
222	33787	117725
223	33957	117639
224	34105	117473
225	34272	117374
226	34419	117208
227	34550	116987
228	34692	116802
229	34839	116635
230	34978	116444
231	35120	116262
232	35256	116057
233	35390	115851
234	35538	115687
235	35683	115519
236	35824	115332
237	35960	115135
238	36117	115002
239	36265	114841
240	36418	114695
241	36562	114521
242	36733	114433
243	36882	114274
244	37013	114063
245	37151	113870
246	37297	113704
247	37444	113540
248	37586	113364
249	37766	113298
250	37902	113103
251	38064	112985
252	38221	112852
253	38394	112764
254	38573	112695
255	38737	112579
256	38878	112400
257	39031	112253
258	39188	112117
259	39344	111979
260	39490	111813
261	39627	111621
262	39761	111424
263	39917	111283
264	40052	111089
265	40201	110932
266	40341	110751
267	40492	110600
268	40634	110422
269	40780	110257
270	40908	110044
271	41055	109882
272	41213	109751
273	41359	109587
274	41500	109409
275	41643	109238
276	41793	109085
277	41937	108916
278	42089	108768
279	42255	108657
280	42409	108513
281	42596	108454
282	42751	108314
283	42888	108127
284	43029	107950
285	43190	107825
286	43327	107639
287	43477	107485
288	43631	107343
289	43774	107173
290	43908	106979
291	44065	106842
292	44191	106632
293	44355	106513
294	44496	106340
295	44640	106172
296	44782	106000
297	44919	105816
298	45054	105629
299	45232	105542
300	45407	105448
301	45543	105262
302	45705	105137
303	45834	104937
304	46006	104835
305	46158	104686
306	46291	104494
307	46410	104271
308	46547	104091
309	46708	103964
310	46858	103811
311	47024	103695
312	47179	103553
313	47316	103372
314	47470	103228
315	47594	103021
316	47743	102866
317	47870	102666
318	48043	102564
319	48198	102421
320	48368	102313
321	48537	102200
322	48705	102085
323	48836	101894
324	48979	101727
325	49115	101544
326	49289	101443
327	49429	101269
328	49566	101091
329	49738	100984
330	49901	100859
331	50057	100717
332	50196	100543
333	50378	100455
334	50559	100365
335	50733	100259
336	50873	100085
337	51029	99946
338	51212	99857
339	51340	99661
340	51484	99497
341	51635	99345
342	51810	99239
343	51970	99106
344	52116	98945
345	52274	98807
346	52437	98678
347	52598	98547
348	52752	98400
349	52901	98245
350	53053	98096
351	53218	97970
352	53384	97847
353	53521	97669
354	53670	97514
355	53832	97383
356	53976	97218
357	54140	97090
358	54298	96950
359	54457	96812
360	54629	96698
361	54780	96546
362	54921	96376
363	55060	96205
364	55241	96104
365	55400	95966
366	55583	95870
367	55733	95715
368	55882	95559
369	56016	95378
370	56177	95243
371	56331	95097
372	56480	94942
373	56636	94797
374	56794	94658
375	56929	94478
376	57074	94317
377	57253	94210
378	57417	94080
379	57563	93919
380	57716	93769
381	57872	93625
382	58035	93493
383	58177	93326
384	58324	93167
385	58462	92994
386	58630	92870
387	58803	92751
388	58938	92575
389	59070	92392
390	59248	92282
391	59429	92175
392	59585	92031
393	59740	91885
394	59910	91762
395	60086	91647
396	60223	91472
397	60394	91350
398	60534	91181
399	60693	91040
400	60868	90923
401	61018	90768
402	61178	90628
403	61327	90473
404	61469	90306
405	61658	90209
406	61810	90058
407	61957	89898
408	62118	89760
409	62289	89636
410	62438	89479
411	62610	89357
412	62807	89269
413	62968	89128
414	63095	88941
415	63246	88788
416	63428	88677
417	63570	88511
418	63702	88332
419	63863	88192
420	64027	88057
421	64182	87909
422	64322	87740
423	64489	87608
424	64686	87516
425	64861	87394
426	65008	87236
427	65172	87099
428	65342	86971
429	65500	86826
430	65649	86670
431	65807	86524
432	65972	86389
433	66149	86269
434	66333	86156
435	66488	86008
436	66636	85849
437	66781	85687
438	66919	85516
439	67100	85400
440	67281	85284
441	67445	85146
442	67585	84978
443	67740	84828
444	67901	84685
445	68057	84537
446	68224	84403
447	68389	84265
448	68586	84167
449	68725	83997
450	68913	83887
451	69068	83738
452	69239	83606
453	69397	83460
454	69547	83303
455	69710	83163
456	69843	82986
457	69987	82823
458	70170	82706
459	70322	82552
460	70472	82396
461	70635	82255
462	70795	82110
463	70935	81942
464	71083	81783
465	71223	81616
466	71383	81472
467	71544	81328
468	71706	81186
469	71861	81035
470	72035	80906
471	72163	80725
472	72320	80577
473	72478	80430
474	72627	80272
475	72779	80118
476	72923	79956
477	73076	79802
478	73227	79648
479	73388	79504
480	73539	79348
481	73692	79196
482	73865	79064
483	73994	78886
484	74157	78744
485	74307	78588
486	74497	78474
487	74670	78343
488	74828	78194
489	74975	78035
490	75118	77872
491	75261	77708
492	75424	77565
493	75575	77411
494	75711	77241
495	75859	77083
496	75994	76912
497	76167	76778
498	76316	76622
499	76474	76474
500	76640	76334
501	76786	76174
502	76961	76043
503	77126	75901
504	77288	75757
505	77471	75634
506	77608	75465
507	77770	75320
508	77929	75174
509	78089	75027
510	78230	74862
511	78395	74720
512	78555	74573
513	78704	74416
514	78897	74301
515	79054	74152
516	79243	74031
517	79401	73883
518	79533	73710
519	79669	73540
520	79809	73375
521	79946	73207
522	80088	73044
523	80247	72896
524	80407	72749
525	80533	72572
526	80690	72422
527	80826	72254
528	80956	72080
529	81091	71911
530	81214	71731
531	81360	71572
532	81487	71397
533	81646	71249
534	81767	71068
535	81901	70899
536	82052	70745
537	82189	70579
538	82318	70405
539	82446	70232
540	82572	70056
541	82721	69900
542	82841	69720
543	82970	69548
544	83096	69373
545	83242	69216
546	83375	69047
547	83537	68903
548	83654	68721
549	83787	68553
550	83916	68382
551	84047	68212
552	84178	68043
553	84292	67860
554	84433	67698
555	84570	67534
556	84691	67357
557	84815	67183
558	84919	66993
559	85050	66825
560	85174	66651
561	85279	66463
562	85426	66308
563	85544	66130
564	85669	65958
565	85791	65783
566	85951	65638
567	86076	65466
568	86197	65292
569	86310	65111
570	86431	64937
571	86554	64764
572	86711	64617
573	86845	64452
574	86946	64264
575	87060	64086
576	87149	63889
577	87244	63697
578	87341	63507
579	87440	63319
580	87536	63128
581	87629	62936
582	87736	62754
583	87847	62576
584	87942	62386
585	88059	62212
586	88154	62023
587	88257	61840
588	88353	61652
589	88466	61476
590	88585	61305
591	88694	61127
592	88797	60945
593	88903	60765
594	89016	60591
595	89113	60406
596	89207	60218
597	89305	60035
598	89411	59856
599	89517	59678
600	89631	59506
601	89734	59325
602	89849	59154
603	89958	58979
604	90075	58809
605	90186	58636
606	90277	58449
607	90374	58268
608	90480	58092
609	90578	57911
610	90681	57733
611	90799	57565
612	90906	57391
613	91015	57218
614	91122	57044
615	91225	56867
616	91330	56692
617	91430	56515
618	91529	56337
619	91617	56152
620	91722	55978
621	91819	55800
622	91917	55622
623	92013	55443
624	92106	55263
625	92221	55097
626	92321	54921
627	92416	54743
628	92531	54577
629	92637	54406
630	92730	54227
631	92838	54057
632	92939	53884
633	93054	53718
634	93164	53551
635	93276	53384
636	93370	53208
637	93480	53040
638	93580	52867
639	93691	52701
640	93780	52522
641	93877	52348
642	94006	52193
643	94097	52016
644	94210	51852
645	94317	51684
646	94410	51510
647	94532	51350
648	94659	51195
649	94781	51036
650	94891	50871
651	95010	50711
652	95105	50538
653	95206	50369
654	95301	50196
655	95399	50026
656	95509	49862
657	95628	49703
658	95735	49538
659	95832	49368
660	95940	49203
661	96036	49033
662	96130	48862
663	96215	48687
664	96315	48519
665	96417	48353
666	96531	48193
667	96629	48025
668	96730	47859
669	96834	47694
670	96937	47529
671	97041	47365
672	97152	47205
673	97285	47055
674	97390	46891
675	97498	46729
676	97612	46571
677	97725	46412
678	97816	46242
679	97922	46081
680	98031	45920
681	98140	45760
682	98263	45607
683	98365	45443
684	98485	45289
685	98593	45128
686	98708	44972
687	98821	44814
688	98916	44648
689	99021	44487
690	99126	44327
691	99226	44164
692	99336	44006
693	99429	43840
694	99539	43682
695	99641	43521
696	99735	43357
697	99849	43201
698	99955	43042
699	100041	42874
700	100146	42715
701	100237	42550
702	100345	42393
703	100463	42240
704	100576	42085
705	100677	41924
706	100781	41766
707	100894	41611
708	100988	41449
709	101095	41292
710	101199	41134
711	101314	40981
712	101422	40825
713	101535	40671
714	101631	40510
715	101744	40356
716	101861	40204
717	101968	40049
718	102086	39897
719	102167	39731
720	102267	39573
721	102379	39420
722	102479	39262
723	102576	39103
724	102687	38950
725	102813	38802
726	102930	38652
727	103035	38496
728	103144	38343
729	103246	38186
730	103352	38032
731	103448	37874
732	103540	37715
733	103632	37556
734	103727	37398
735	103827	37242
736	103925	37086
737	104031	36932
738	104139	36779
739	104249	36628
740	104358	36476
741	104473	36326
742	104575	36172
743	104676	36017
744	104786	35866
745	104883	35710
746	105007	35564
747	105115	35413
748	105208	35256
749	105312	35104
750	105427	34955
751	105537	34805
752	105646	34654
753	105736	34497
754	105832	34342
755	105935	34190
756	106043	34040
757	106154	33891
758	106258	33739
759	106348	33583
760	106444	33430
761	106532	33274
762	106656	33129
763	106756	32977
764	106865	32827
765	106968	32677
766	107068	32525
767	107179	32377
768	107263	32220
769	107378	32074
770	107462	31918
771	107550	31763
772	107623	31604
773	107689	31444
774	107767	31287
775	107842	31129
776	107914	30971
777	107983	30812
778	108061	30656
779	108134	30499
780	108218	30345
781	108277	30184
782	108330	30022
783	108380	29859
784	108441	29700
785	108494	29539
786	108559	29381
787	108612	29220
788	108661	29058
789	108712	28898
790	108760	28736
791	108811	28576
792	108864	28417
793	108910	28256
794	108969	28098
795	109025	27941
796	109072	27781
797	109134	27625
798	109181	27466
799	109231	27307
800	109288	27151
801	109337	26993
802	109397	26838
803	109443	26680
804	109493	26523
805	109553	26368
806	109599	26211
807	109648	26055
808	109694	25898
809	109740	25741
810	109788	25585
811	109839	25430
812	109882	25274
813	109931	25119
814	109974	24963
815	110022	24808
816	110065	24653
817	110114	24499
818	110159	24345
819	110200	24190
820	110240	24035
821	110282	23881
822	110335	23729
823	110381	23576
824	110428	23424
825	110471	23271
826	110514	23118
827	110556	22965
828	110604	22814
829	110649	22663
830	110692	22511
831	110733	22359
832	110777	22208
833	110827	22059
834	110875	21909
835	110919	21759
836	110964	21609
837	111007	21459
838	111057	21311
839	111102	21162
840	111150	21014
841	111199	20866
842	111240	20717
843	111281	20568
844	111325	20420
845	111366	20272
846	111413	20125
847	111456	19977
848	111510	19832
849	111548	19685
850	111600	19539
851	111642	19393
852	111683	19246
853	111729	19101
854	111776	18956
855	111825	18811
856	111877	18668
857	111919	18522
858	111961	18377
859	112003	18233
860	112049	18089
861	112107	17947
862	112148	17803
863	112196	17660
864	112238	17517
865	112281	17373
866	112322	17230
867	112365	17087
868	112411	16945
869	112459	16804
870	112500	16661
871	112540	16519
872	112583	16378
873	112630	16237
874	112672	16096
875	112726	15956
876	112776	15816
877	112821	15676
878	112872	15537
879	112918	15397
880	112967	15258
881	113009	15119
882	113054	14980
883	113105	14841
884	113149	14703
885	113190	14564
886	113241	14426
887	113288	14288
888	113337	14151
889	113376	14012
890	113424	13875
891	113465	13738
892	113515	13601
893	113558	13464
894	113609	13328
895	113652	13191
896	113696	13055
897	113739	12919
898	113785	12783
899	113837	12648
900	113882	12513
901	113928	12378
902	113978	12243
903	114021	12108
904	114067	11973
905	114111	11839
906	114157	11705
907	114200	11570
908	114243	11436
909	114286	11303
910	114334	11169
911	114382	11036
912	114432	10904
913	114474	10771
914	114536	10640
915	114576	10506
916	114617	10374
917	114660	10242
918	114703	10109
919	114749	9978
920	114796	9846
921	114841	9715
922	114889	9584
923	114939	9453
924	114985	9323
925	115027	9192
926	115069	9061
927	115116	8931
928	115159	8801
929	115210	8671
930	115251	8541
931	115291	8411
932	115332	8282
933	115378	8153
934	115423	8024
935	115475	7895
936	115519	7767
937	115564	7638
938	115618	7510
939	115658	7382
940	115704	7254
941	115747	7126
942	115794	6999
943	115840	6871
944	115891	6744
945	115935	6617
946	115982	6491
947	116022	6364
948	116067	6237
949	116115	6111
950	116162	5985
951	116206	5859
952	116260	5733
953	116312	5608
954	116357	5482
955	116398	5357
956	116441	5231
957	116485	5106
958	116528	4981
959	116571	4857
960	116613	4732
961	116656	4608
962	116699	4483
963	116741	4359
964	116792	4236
965	116832	4112
966	116886	3988
967	116930	3865
968	116970	3742
969	117013	3618
970	117058	3496
971	117103	3373
972	117151	3250
973	117201	3128
974	117243	3006
975	117286	2884
976	117329	2762
977	117375	2640
978	117415	2518
979	117458	2397
980	117500	2275
981	117543	2154
982	117588	2033
983	117632	1912
984	117676	1792
985	117720	1671
986	117767	1551
987	117807	1430
988	117853	1310
989	117900	1190
990	117944	1071
991	117994	951
992	118046	832
993	118090	712
994	118133	593
995	118192	474
996	118235	355
997	118284	237
998	118327	118
999	118377	0
