iter	MultiClass
0	1.241368633
1	1.016909941
2	0.8548723942
3	0.7327929318
4	0.6355223211
5	0.5567032702
6	0.4892885978
7	0.4322271017
8	0.3840619335
9	0.3436983213
10	0.3064915665
11	0.2749359537
12	0.2473023393
13	0.2235472653
14	0.2027820757
15	0.1837032642
16	0.1670955581
17	0.1519707797
18	0.1390149788
19	0.126740239
20	0.1158695588
21	0.1065557161
22	0.09819730522
23	0.09074808113
24	0.08386445874
25	0.07765398493
26	0.07183931879
27	0.06695845892
28	0.0623299619
29	0.0579257857
30	0.05388817461
31	0.05047372426
32	0.04742857112
33	0.04450974317
34	0.0419978373
35	0.03978270041
36	0.0374429847
37	0.03558513452
38	0.03391330675
39	0.03234079834
40	0.03094554225
41	0.02959171557
42	0.02852013557
43	0.02737379526
44	0.02635318033
45	0.02546154514
46	0.02447762871
47	0.0236263835
48	0.02282100116
49	0.02211159608
50	0.02149425842
51	0.02086486881
52	0.02025511305
53	0.0196901862
54	0.0191576616
55	0.01883632281
56	0.01835906134
57	0.0178275808
58	0.01751883158
59	0.01709852139
60	0.01673757701
61	0.01636398306
62	0.01607106605
63	0.01583141824
64	0.01552411105
65	0.01517914258
66	0.01480028198
67	0.01450571376
68	0.01428140369
69	0.01411864549
70	0.0138057172
71	0.01359604638
72	0.01344096924
73	0.01325569212
74	0.01304355194
75	0.01289365992
76	0.0126871211
77	0.01250063983
78	0.01232594332
79	0.01214744181
80	0.01198439011
81	0.011873506
82	0.01173510913
83	0.01160734162
84	0.011519265
85	0.01139612699
86	0.01127040104
87	0.01112410914
88	0.01103724534
89	0.01100034631
90	0.01090722242
91	0.01082790605
92	0.01074819132
93	0.01065014392
94	0.01054709599
95	0.01046574772
96	0.01036285188
97	0.0103216012
98	0.01021607354
99	0.01014433776
100	0.01007568128
101	0.009993851169
102	0.009866710103
103	0.009819504081
104	0.009753940975
105	0.00964918051
106	0.009613536649
107	0.009561183443
108	0.009482410277
109	0.009441815705
110	0.009363247262
111	0.009322968348
112	0.009273829564
113	0.009228377508
114	0.009181827337
115	0.009126285883
116	0.00909048803
117	0.009058914757
118	0.009023814635
119	0.008984435173
120	0.008927117643
121	0.008873640113
122	0.008806201603
123	0.008779925241
124	0.008706099998
125	0.008648967437
126	0.008634407671
127	0.008601270757
128	0.008558645641
129	0.00852471704
130	0.008494612145
131	0.008470184885
132	0.00841180028
133	0.008392970252
134	0.00836745882
135	0.008339940106
136	0.008320534609
137	0.008276685071
138	0.008258913735
139	0.008230121991
140	0.008206752761
141	0.008156672557
142	0.008111033059
143	0.008097792323
144	0.008074459028
145	0.008050879923
146	0.008005368857
147	0.007967616062
148	0.007936146591
149	0.00790233544
150	0.00787576793
151	0.007856148339
152	0.007789192774
153	0.007747669042
154	0.00771609078
155	0.007694915671
156	0.007681992959
157	0.007626147469
158	0.007603951466
159	0.007582254589
160	0.007550828213
161	0.007539175214
162	0.007520608072
163	0.007478271291
164	0.007460210888
165	0.007447635218
166	0.007418200066
167	0.007374306425
168	0.007340927752
169	0.00731833798
170	0.007304497796
171	0.007283479799
172	0.007260000395
173	0.007243893157
174	0.007186797427
175	0.00716788902
176	0.007137736835
177	0.007091241123
178	0.007068435078
179	0.007057751967
180	0.007035802038
181	0.007023472442
182	0.007007225999
183	0.006987133488
184	0.00694543206
185	0.006913716588
186	0.006901193477
187	0.006888130529
188	0.006877349047
189	0.006864767414
190	0.006849897349
191	0.006834229846
192	0.006816684437
193	0.006803914127
194	0.006790976306
195	0.006778747705
196	0.006770286101
197	0.006757407329
198	0.006744758353
199	0.006718383379
200	0.006705312402
201	0.006691880348
202	0.006651618758
203	0.006622252786
204	0.006615140621
205	0.006608066184
206	0.006593795378
207	0.006578006669
208	0.006558413261
209	0.006526146526
210	0.006518511848
211	0.006504474092
212	0.006495887915
213	0.006490027967
214	0.006468364912
215	0.006460282208
216	0.006447795161
217	0.006432319134
218	0.006427245912
219	0.006392226538
220	0.00637939668
221	0.006349956694
222	0.006337541111
223	0.006322420742
224	0.006304274016
225	0.006291778048
226	0.006278050946
227	0.006259799036
228	0.006248611119
229	0.006235529411
230	0.006219213103
231	0.006211811046
232	0.006197392703
233	0.006186745734
234	0.006178705092
235	0.006165542215
236	0.006161059302
237	0.006154129504
238	0.006145863615
239	0.006126255533
240	0.006103828797
241	0.006092319423
242	0.006061389647
243	0.006037584251
244	0.00602812575
245	0.006020984417
246	0.006006468147
247	0.005995050015
248	0.005968958048
249	0.005945357223
250	0.00592704963
251	0.005914490782
252	0.005892657897
253	0.005875834181
254	0.00586575204
255	0.005848112452
256	0.005837376381
257	0.005826896069
258	0.005820739779
259	0.00580654991
260	0.005789397514
261	0.005780971878
262	0.005768378873
263	0.005757323984
264	0.005748158787
265	0.005737355257
266	0.00572820898
267	0.005718693656
268	0.005705722243
269	0.005696317846
270	0.005687312241
271	0.005671789438
272	0.005640126471
273	0.005623651723
274	0.005610408887
275	0.005599201399
276	0.005593285289
277	0.005582109206
278	0.005562791552
279	0.005548059204
280	0.00553217846
281	0.005520520132
282	0.005514665166
283	0.005507628722
284	0.005497057189
285	0.005487150412
286	0.005479374283
287	0.005470953508
288	0.005460485452
289	0.00545363168
290	0.005442846677
291	0.005428635941
292	0.005424830291
293	0.005409263613
294	0.005402362077
295	0.005385582286
296	0.005375020692
297	0.005368103681
298	0.0053572784
299	0.005338182586
300	0.005319880334
301	0.0053052638
302	0.00530010869
303	0.005292729753
304	0.005282955034
305	0.005272195059
306	0.005264542974
